states,flag,basin_size_mean,basin_size_sd,time_mean,time_sd,frustration
1_0_0_0_0_0_0_0_0_0_0_1_1,1,0.47412109375,0.0,1.9997425334706491,0.0,0.2
0_1_1_1_1_1_1_1_1_1_1_0_0,1,0.3203125,0.0,1.999618902439024,0.0,0.2
1_0_0_0_0_1_0_0_1_0_0_1_1,1,0.138671875,0.0,1.9991197183098592,0.0,0.35
1_0_1_1_0_1_0_0_1_0_0_1_1;1_0_0_0_0_1_0_0_1_0_0_1_0;1_0_1_1_0_1_0_0_1_0_0_1_1,1,0.02734375,0.0,1.9955357142857142,0.0,0.45
1_0_1_1_1_0_0_1_1_1_1_1_0;0_1_1_1_1_0_0_1_1_0_1_1_0;1_0_1_1_1_0_0_1_1_1_1_1_0,1,0.01904296875,0.0,1.9935897435897436,0.0,0.525
1_0_1_1_0_1_0_1_1_0_0_1_0,1,0.009765625,0.0,1.9875,0.0,0.55
0_1_1_1_1_0_0_1_1_1_1_1_0,1,0.00390625,0.0,1.96875,0.0,0.4
1_0_1_1_1_1_0_1_1_0_1_1_0,1,0.00390625,0.0,1.96875,0.0,0.675
1_0_1_1_1_0_0_1_1_0_1_1_0,1,0.0029296875,0.0,1.9583333333333333,0.0,0.625
